Car unique id,first online date,car sold on date,manufacturer,model,fuel_type,buy price,last available online price,External market reference price
1278658005,2024-11-27,,BMW,2er,Benzin,31893,38943,38525
1283866921,2024-12-06,,Skoda,Octavia,Benzin,30939,37305,37864
1281081215,2024-10-30,2024-12-07,Mazda,CX-5,Diesel,13215,16246,17468
1276020494,2024-10-07,2024-10-10,Ssangyong,Tivoli,Diesel,4702,9045,9241
1281880761,2024-11-18,2024-11-19,BMW,X4,Diesel,37179,42755,43596
1276101215,2025-01-09,,Land Rover,Evoque,Diesel,16918,21430,21989
1278522200,2024-09-18,2024-10-01,Hyundai,i10,Benzin,6255,12201,12598
1281975720,2024-10-28,,Renault,Twingo,Benzin,5976,10722,10161
1282465392,2024-11-26,2024-12-05,Skoda,Fabia,Benzin,3085,8387,8515
1279261630,2024-12-20,2025-01-08,Opel,Insignia Grand Sport,Diesel,12469,17661,17237
1278805647,2024-11-19,,BMW,2er,Benzin,18999,25322,24817
1278903900,2024-09-16,2024-12-16,Volkswagen,T-Cross,Benzin,10367,14632,14466
1281920176,2024-11-06,,Opel,Corsa,Benzin,5076,7864,8700
1280301474,2024-10-11,,Toyota,Aygo,Benzin,10429,12893,11962
1278308524,2024-12-03,,Kia,Sportage,Benzin,12826,17876,19140
1270536908,2024-10-28,2024-11-05,Audi,A6,Diesel,15986,23163,22100
1279463203,2024-12-12,2025-01-06,Hyundai,i30,Benzin,19219,25201,26759
1278792790,2024-09-20,2024-11-06,Smart,fortwo,Benzin,9570,12490,13106
1279803777,2024-10-02,,Mercedes-Benz,V-Klasse,Diesel,32736,39040,36965
1279871184,2024-10-09,2024-11-09,Mercedes-Benz,GLA-Klasse,Benzin,18147,24325,24728
1282095423,2024-11-15,2024-12-07,Opel,Zafira Life,Diesel,35063,42233,40917
1280853835,2024-11-26,2024-12-13,Ford,Tourneo,Benzin,9186,12837,13677
1281329633,2024-10-31,,Volkswagen,Touran,Diesel,19693,24169,22583
1279810969,2024-09-30,2024-10-30,Smart,forfour,Benzin,9123,13127,12719
1268555343,2024-09-25,2024-12-11,Volkswagen,Golf VIII,Benzin,24113,26069,28089
1280452676,2024-10-04,2024-12-20,Ford,Focus,Benzin,12131,15898,17784
1282261656,2024-11-08,,Suzuki,Ignis,Benzin,9629,12251,11584
1280706697,2024-10-10,,Ford,Focus,Benzin,8959,11839,11957
1281701162,2024-10-26,,Volkswagen,Tiguan,Benzin,13951,15969,15861
1282223820,2024-11-08,2024-11-11,Dacia,Dokker,Diesel,10059,13266,14650
1283311695,2024-11-22,,Mercedes-Benz,GLC-Klasse,Benzin,23204,31727,32521
1283739885,2024-12-20,,Seat,Leon,Benzin,14110,17614,18063
1282380353,2024-11-19,,Audi,A4,Diesel,16784,21012,19259
1281915299,2024-11-19,2024-12-09,Citroen,Berlingo,Diesel,18936,22880,23159
1257997648,2024-11-18,2024-12-14,Volkswagen,Golf VII,Benzin,14551,17323,18766
1265658966,2024-12-20,,Audi,A6,Diesel,23596,32599,33543
1280030902,2024-10-15,,Ford,EcoSport,Benzin,8955,12072,12186
1282923116,2025-01-06,,Renault,Twingo,Benzin,7175,12083,10697
1283158712,2024-11-29,,Opel,Insignia Sports Tourer,Diesel,15125,17754,19048
1267101705,2024-10-25,2024-12-11,Toyota,Yaris,Hybrid,8925,13455,11937
1276013107,2024-09-14,2024-09-25,Volkswagen,Tiguan,Benzin,23900,28839,29604
1280473461,2024-10-29,2024-12-23,Mercedes-Benz,C-Klasse,Diesel,18567,24751,23326
1280664877,2024-12-16,,BMW,1er,Benzin,10348,14393,15654
1275019760,2024-10-26,2024-11-29,Volkswagen,Tiguan,Diesel,24661,27976,29385
1273476129,2024-09-13,2024-10-16,Volkswagen,Golf VII,Benzin,6345,11068,12776
1275117311,2024-12-12,,Peugeot,208,Benzin,5159,7446,9691
1267215745,2024-10-18,,Mercedes-Benz,GLA-Klasse,Benzin,20451,23461,25613
1273406659,2024-12-13,2024-12-20,Skoda,Fabia,Benzin,8596,13133,12972
1282622426,2024-12-17,,Ford,Focus,Diesel,14882,18235,17570
1275902684,2024-12-10,2024-12-16,BMW,4er,Benzin,17029,23966,23312
1277529848,2024-09-27,2024-10-31,Skoda,Fabia,Benzin,7905,11176,12034
1283668911,2024-12-09,,Nissan,Micra,Benzin,8127,12101,11956
1284835751,2025-01-03,,Mercedes-Benz,A-Klasse,Benzin,26633,31728,31500
1279559611,2024-10-07,2025-01-03,Mitsubishi,Outlander,Hybrid,18169,20729,21453
1280128471,2024-11-07,,Jaguar,F-Pace,Benzin,23541,29298,28768
1280086346,2024-10-10,,Renault,Clio,Benzin,9618,11913,12262
1278923278,2024-09-28,2024-11-27,Fiat,500C,Benzin,11177,13056,14123
1280015014,2024-09-30,,Peugeot,108,Benzin,5828,6695,7056
1280408235,2024-10-10,,Kia,XCeed,Hybrid,18649,20617,20159
1279641863,2024-09-20,2024-12-04,Subaru,Forester,Benzin,23589,25563,26276
1281480177,2024-11-08,2024-12-04,Volkswagen,Golf VIII,Diesel,19840,26434,28188
1281642257,2024-10-23,,Seat,Ibiza,Benzin,13466,17047,17082
1281724483,2024-10-28,2024-11-06,Opel,Astra,Benzin,11279,16874,15561
1281493914,2024-12-05,2025-01-03,Hyundai,i30,Diesel,11678,16456,16772
1282455473,2024-11-18,2025-01-08,BMW,X1,Benzin,20887,24883,25390
1282870077,2024-11-28,,Skoda,Karoq,Benzin,13512,19653,19137
1283145192,2024-12-09,,Volkswagen,Golf VII,Benzin,15824,18060,17705
1282701317,2024-11-20,,Ford,Focus,Benzin,15789,23772,23623
1280589307,2024-12-23,,MINI,MINI,Benzin,13657,18977,20577
1275992804,2024-10-23,,Audi,A4,Benzin,18499,24808,24100
1280693251,2024-11-08,,Renault,Captur,Benzin,9377,12541,13026
1283187521,2024-11-20,,Seat,Leon,Benzin,12162,16982,18316
1276181304,2024-10-09,2024-10-10,Mercedes-Benz,A-Klasse,Diesel,10796,17418,17392
1281751057,2024-11-05,2024-11-12,Renault,Clio,Benzin,10470,16267,14953
1278956487,2024-10-24,2024-12-02,Peugeot,5008,Diesel,18625,27188,26690
1276443126,2024-11-22,,Renault,Clio,Benzin,6449,9907,10898
1280243530,2024-10-23,2024-10-25,MINI,MINI,Benzin,6348,10307,12252
1280354053,2024-11-02,2024-12-31,Renault,Scenic,Benzin,8751,11338,10824
1280547586,2024-10-25,2025-01-04,Volkswagen,Golf VII Sportsvan,Benzin,15899,19602,19159
1284305102,2024-12-20,,Hyundai,i10,Benzin,9944,16739,15248
1272007263,2024-10-16,,Volkswagen,Golf VII,Benzin,15003,19915,19364
